City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Ilulissat,69.2167,-51.1,46.42,87,75,8.05,GL,2022-09-27 16:44:14,light rain
1,Chuy,-33.6971,-53.4616,66.99,58,56,15.21,UY,2022-09-27 16:48:05,broken clouds
2,Hami,42.8,93.45,72.57,19,58,3.36,CN,2022-09-27 16:48:05,broken clouds
3,Puerto Ayora,-0.7393,-90.3518,71.56,88,95,7.0,EC,2022-09-27 16:48:06,overcast clouds
4,Hermanus,-34.4187,19.2345,61.81,77,0,1.97,ZA,2022-09-27 16:48:07,clear sky
5,Labuhan,-6.8844,112.2051,78.48,72,9,6.38,ID,2022-09-27 16:48:07,clear sky
6,Kruisfontein,-34.0033,24.7314,63.88,94,100,16.4,ZA,2022-09-27 16:48:07,overcast clouds
7,Khandyga,62.6667,135.6,36.46,97,100,2.73,RU,2022-09-27 16:48:08,overcast clouds
8,Port Hedland,-20.3167,118.5667,62.65,82,35,8.05,AU,2022-09-27 16:48:09,scattered clouds
9,Punta Arenas,-53.15,-70.9167,51.91,54,75,35.68,CL,2022-09-27 16:48:10,broken clouds
10,Takoradi,4.8845,-1.7554,78.49,79,54,11.32,GH,2022-09-27 16:48:10,broken clouds
11,Prado,-17.3411,-39.2208,79.47,66,27,11.1,BR,2022-09-27 16:48:11,scattered clouds
12,Cody,44.5263,-109.0565,70.25,43,0,1.99,US,2022-09-27 16:48:11,clear sky
13,Taiyuan,37.8694,112.5603,64.26,55,0,0.0,CN,2022-09-27 16:48:12,clear sky
14,Carnarvon,-24.8667,113.6333,67.42,68,5,14.63,AU,2022-09-27 16:48:12,clear sky
15,Nabire,-3.3667,135.4833,75.29,91,100,2.68,ID,2022-09-27 16:48:13,light rain
16,San Patricio,28.017,-97.5169,86.16,28,13,13.24,US,2022-09-27 16:48:13,few clouds
17,Ostashkov,57.1467,33.1075,44.94,85,95,4.76,RU,2022-09-27 16:48:14,overcast clouds
18,Ribeira Grande,38.5167,-28.7,73.8,60,20,16.11,PT,2022-09-27 16:48:14,few clouds
19,Castro,-24.7911,-50.0119,65.61,85,100,3.91,BR,2022-09-27 16:48:15,moderate rain
20,Khatanga,71.9667,102.5,17.89,94,83,5.3,RU,2022-09-27 16:48:15,broken clouds
21,Chokurdakh,70.6333,147.9167,22.33,90,100,7.78,RU,2022-09-27 16:48:17,overcast clouds
22,Esso,55.9333,158.7,37.4,100,100,3.85,RU,2022-09-27 16:48:18,overcast clouds
23,Avera,33.194,-82.5271,76.55,28,5,4.76,US,2022-09-27 16:48:18,clear sky
24,Tiksi,71.6872,128.8694,31.96,92,100,20.58,RU,2022-09-27 16:48:19,light snow
25,Haines Junction,60.7522,-137.5108,37.35,81,95,2.3,CA,2022-09-27 16:48:20,overcast clouds
26,Esperance,-33.8667,121.9,52.09,82,3,13.71,AU,2022-09-27 16:48:21,clear sky
27,Henties Bay,-22.116,14.2845,57.85,74,75,12.5,NA,2022-09-27 16:48:21,broken clouds
28,Bethel,41.3712,-73.414,69.58,60,0,12.66,US,2022-09-27 16:48:22,clear sky
29,Hermanus,-34.4187,19.2345,61.81,77,0,1.97,ZA,2022-09-27 16:48:07,clear sky
30,Qaanaaq,77.484,-69.3632,33.13,99,100,4.38,GL,2022-09-27 16:48:23,light snow
31,Caohai,26.8661,104.2841,50.94,94,100,4.29,CN,2022-09-27 16:48:23,overcast clouds
32,Yulara,-25.2406,130.9889,57.18,76,41,9.4,AU,2022-09-27 16:48:24,scattered clouds
33,Encarnacion,-27.3333,-55.9,81.12,50,75,11.5,PY,2022-09-27 16:48:25,broken clouds
34,Okato,-39.2,173.8833,51.91,100,84,11.23,NZ,2022-09-27 16:48:25,broken clouds
35,Porto Novo,6.4965,2.6036,80.42,83,98,5.21,BJ,2022-09-27 16:48:25,overcast clouds
36,Victoria,22.2855,114.1577,85.32,78,43,11.01,HK,2022-09-27 16:45:14,scattered clouds
37,Albany,42.6001,-73.9662,64.24,70,67,6.91,US,2022-09-27 16:43:51,broken clouds
38,Rio Gallegos,-51.6226,-69.2181,53.2,52,86,38.01,AR,2022-09-27 16:48:27,overcast clouds
39,Payo,-3.7508,103.6372,74.64,84,100,1.95,ID,2022-09-27 16:48:28,overcast clouds
40,Letlhakane,-21.4167,25.5833,84.11,12,5,12.19,BW,2022-09-27 16:48:28,clear sky
41,Adre,13.4667,22.2,72.01,74,96,10.4,TD,2022-09-27 16:48:29,moderate rain
42,Rikitea,-23.1203,-134.9692,68.29,59,60,8.88,PF,2022-09-27 16:48:29,broken clouds
43,Norman Wells,65.282,-126.8329,39.24,87,75,12.66,CA,2022-09-27 16:48:30,broken clouds
