City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Faanui,PF,2022-09-22 20:43:31,-16.4833,-151.75,78.82,74,6,17.45
1,Olginskaya,RU,2022-09-22 20:43:32,47.1879,39.9492,66.94,56,90,6.08
2,Baiquan,CN,2022-09-22 20:43:32,47.5833,126.0833,53.73,93,100,8.9
3,Hermanus,ZA,2022-09-22 20:43:32,-34.4187,19.2345,55.8,77,41,21.65
4,San Rafael,AR,2022-09-22 20:42:23,-34.6177,-68.3301,67.21,17,15,11.36
5,Tiksi,RU,2022-09-22 20:44:33,71.6872,128.8694,28.49,91,100,11.59
6,New Norfolk,AU,2022-09-22 20:44:34,-42.7826,147.0587,53.92,90,100,1.28
7,Provideniya,RU,2022-09-22 20:44:34,64.3833,-173.3,44.71,87,100,7.0
8,Yellowknife,CA,2022-09-22 20:44:35,62.456,-114.3525,61.32,59,40,17.27
9,Butaritari,KI,2022-09-22 20:45:35,3.0707,172.7902,80.83,75,97,9.48
10,Shitanjing,CN,2022-09-22 20:45:36,39.2342,106.3439,46.72,32,79,7.47
11,Bartica,GY,2022-09-22 20:45:36,6.4,-58.6167,84.52,82,92,3.89
12,Rikitea,PF,2022-09-22 20:45:36,-23.1203,-134.9692,73.35,73,9,10.56
13,Tukrah,LY,2022-09-22 20:45:37,32.5341,20.5791,74.3,62,21,13.44
